,0,1,2,3,4,5,6,7,8,9,10,11,12,Gender
0,-469.96017,98.45479,20.95323,17.406338,16.21048,14.401651,16.158,11.025076,8.804923,2.7768698,1.2945085,8.554108,7.0712194,Male
1,-466.98022,104.120735,26.737106,20.751617,16.69645,10.151497,10.23374,8.121283,5.7821474,0.10788019,2.1010993,7.799566,6.3634796,Male
2,-468.29712,102.74733,25.771015,19.097042,12.3949795,6.0556993,11.277176,7.8724976,1.44539,0.064739764,3.912396,6.4673862,4.625026,Male
3,-469.16516,103.7347,26.947243,18.29868,12.458715,8.216882,13.127569,6.532074,2.5582864,3.314471,2.812948,3.5015802,0.6690621,Male
4,-469.08868,101.41417,24.227932,17.84653,12.2986965,8.115106,12.50883,7.9009504,5.013772,1.5936589,0.5788096,4.369261,2.8665338,Male
5,-470.89822,94.43787,16.704475,15.582547,12.059637,8.274053,13.861155,12.961896,7.2140493,-1.1049603,0.42319536,6.2660646,6.131231,Male
6,-468.73584,98.65498,20.130732,15.430374,12.062846,10.391032,14.334309,11.47518,7.617435,1.8788378,4.2458963,10.660448,9.378164,Male
7,-468.58322,102.47394,27.582523,20.38018,15.175255,14.03982,16.18672,9.941317,5.1190434,3.451494,6.56575,8.106993,4.565077,Male
8,-465.4482,104.02059,24.897861,22.889755,20.365437,12.692967,14.593063,7.6172514,2.645145,3.1551476,2.6860945,3.5170383,0.6961167,Male
9,-466.10446,105.1229,25.33002,20.485176,17.209774,8.003017,12.244085,11.277384,6.5325737,1.2755518,-0.3291697,3.258274,2.9014227,Male
10,-472.15155,101.20338,23.873215,14.660458,13.862503,7.1550474,9.287994,13.869314,11.65526,3.805365,4.0565357,4.3835325,0.21034378,Male
11,-473.7956,101.280334,25.92258,14.703045,13.196596,6.737044,6.837669,8.833919,9.619524,6.9653416,4.72093,3.335766,1.2074958,Male
12,-473.62827,99.536095,26.294477,18.78218,16.002037,10.166592,7.9435596,6.335617,7.566176,3.6441913,2.2605271,5.2228107,4.0199223,Male
13,-472.79514,98.18161,22.307795,19.160921,20.563581,14.326881,12.333536,7.401424,3.0512016,-1.8692328,1.6117972,10.926222,9.416893,Male
14,-467.37497,97.747185,17.749437,24.72025,26.070055,10.425788,11.068661,10.014936,3.599152,1.699263,3.295417,9.150684,8.718582,Male
15,-382.06476,96.72676,-23.368168,79.26091,41.780518,-19.694798,2.8323827,11.516642,-1.9594369,-2.962649,-11.161598,3.6658473,10.751295,Male
16,-240.63524,161.76068,-42.16634,93.5234,39.881046,-23.253918,-10.094536,2.6537163,-14.927504,-9.8557625,-20.54938,-14.403904,7.346192,Male
17,-162.3401,172.58972,-70.80531,98.03722,34.515358,-25.271328,-16.599575,2.8293495,-22.36858,-6.3799143,-21.322002,-18.67804,5.4410257,Male
18,-147.90613,167.05536,-77.865906,99.01178,33.48417,-19.44438,-13.574982,6.065391,-18.518183,2.8936083,-21.157455,-14.960937,5.6098127,Male
19,-184.7641,161.97745,-62.73044,93.97611,31.559895,-13.65023,-5.0753183,4.9224043,-14.164208,3.278264,-20.906704,-13.047195,4.86806,Male
20,-180.9634,152.74675,-52.571095,79.06438,2.8597105,6.4271603,2.4457817,1.4620132,-19.002533,6.9951124,-11.463125,-10.703674,8.768457,Male
21,-151.97977,163.41489,-65.917725,80.14551,17.14221,6.7974415,-14.374699,-4.5658493,-18.583195,8.815103,-13.1239395,-15.272838,4.677128,Male
22,-156.20149,181.92458,-71.492775,63.859665,29.82339,2.1731668,-19.603271,-10.82314,-26.50573,9.626944,-17.754688,-21.224503,1.4346478,Male
23,-182.95956,188.9089,-49.201103,59.475533,27.634998,11.719641,-15.041605,-14.728262,-18.222698,7.1902065,-13.495027,-13.4731655,-2.3975735,Male
24,-289.1254,167.92273,-16.370182,52.52871,32.649986,17.82454,0.79620874,-16.683765,-9.606564,4.267066,-7.806534,-4.3298244,-5.8448043,Male
25,-408.60318,124.69852,-5.358298,17.520222,23.952696,11.80536,4.4281883,-5.4558554,14.239044,11.319574,-14.249699,-13.21656,-3.4699788,Male
26,-217.82285,135.39394,-81.37498,26.080986,-11.6725855,19.776905,-9.579359,-5.947771,19.557426,14.013298,-16.74719,-13.79154,1.2933233,Male
